video_id,video_name,start,duration,text
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,0.11,4.53,"This class is divided into
three subclasses, three parts."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,4.53,6.01,They are supervised learning.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,6.01,7.67,">> Yeah.
>> Unsupervised learning,"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,7.67,8.47,and reinforcement.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,9.54,12.145,"So, what do you think
supervised learning is?"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,12.145,17.509999999999998,">> So, I think of supervised learning
as being the problem of taking labelled"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,17.51,23.057000000000002,"data sets, gleaning information from
it so that you can label new data sets."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,23.057,24.137999999999998,>> That's fair.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,24.138,26.355,I call that function approximation.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,26.355,28.798000000000002,"So, here's an example
of supervised learning."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,28.798,31.342,"I'm going to give you an input and
an output."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,31.342,32.912,"And I'm going to give
them to you as pairs, and"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,32.912,34.36,"I want you to guess
what the function is."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,34.36,35.441,">> Sure.
>> Okay?"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,35.441,36.185,Okay.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,36.185,36.845,"1, 1."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,36.845,37.925,>> Uh-huh.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,37.925,38.784,"2, 4."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,38.784,40.92,">> Wait, hang on,
is 1 the input and 1 the output,."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,40.92,42.84,">> Yes.
>> And 2 the input, and 4 the output?"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,42.84,44.057,">> Correct.
>> All right."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,44.057,45.82,"I'm on, I think I am on to you."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,45.82,46.44,">> 3, 9."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,46.44,47.628,">> Okay.
>> 4, 16."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,47.628,48.383,>> Nice.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,48.383,49.148,">> 5, 25."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,49.148,50.426,"6, 36."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,50.426,51.446000000000005,"7, 49."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,51.446,52.666,>> Nice.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,52.666,53.503,This is a very hip data set.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,53.503,54.349,>> It is.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,54.349,56.01,"What's the function?
>> It's hip to be squared."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,56.01,57.199999999999996,>> Exactly.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,57.2,58.49,Maybe.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,58.49,59.660000000000004,"So if you believe that's true,"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,59.66,62.15,"then tell me if the input is 10,
what's the output?"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,62.15,64.519,">> 100.
>> And that's right, if it turns out,"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,64.519,66.88000000000001,"in fact, that the function is x squared."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,66.88,69.92,"But the truth is, we have no idea
whether this function is x squared."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,69.92,71.8,"Not really.
>> I have a pretty good idea."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,71.8,72.36,">> You do?
>> Well-"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,72.36,73.76,>> Where's that idea come from?
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,73.76,77.07000000000001,">> It comes from having spoken with
you over a long period of time."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,78.52,79.99,"And plus, you know, math."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,79.99,80.97,>> And plus math.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,80.97,82.42999999999999,"Well, I'm going to-"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,82.43,83.10000000000001,>> You can't say I'm wrong.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,83.1,84.22999999999999,>> You're wrong.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,84.23,85.06,">> Oh.
>> Yeah, I did."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,85.06,85.91,>> You just said I was wrong.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,85.91,88.33,">> No, you've talked to me for
a long time, and plus math."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,88.33,89.28,I agree with that.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,89.28,90.28,">> Okay.
>> But"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,90.28,92.51,"I'm going to claim that you're
making a leap of faith."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,92.51,94.11,">> Hm.
>> Despite being a scientist,"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,94.11,97.019,"by deciding that the input is 10 and
the output is 100."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,98.12,99.25,">> Sure.
I would agree with that."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,99.25,100.562,>> What's that leap of faith?
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,100.562,104.90299999999999,">> Well, I mean, from what you told me,
it's still consistent with lots of"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,104.903,108.84,"other mappings from input to
output like 10 gets mapped to 11."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,108.84,111.046,">> Right or
everything is x squared except 10."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,111.046,111.60300000000001,>> Sure.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,111.603,113.344,">> Or everything is x,
x squared up to 10."
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,113.344,114.365,">> Right, that would be mean-"
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,114.365,115.446,>> That would be mean-
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,115.446,117.80199999999999,>> But it's not logically impossible.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,117.802,119.161,>> What would be the median?
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,119.161,120.1,>> A-ha.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,120.1,120.72699999999999,>> Thank you very much.
Ki2iHgKxRBo,Supervised Learning - Georgia Tech - Machine Learning,120.727,121.955,"I, I was saving that one up."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,0.21,3.06,"Well, what you're doing in order to make
that work and what you end up doing in"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,3.06,5.16,"supervised learning and
functions approximation in general,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,5.16,7.92,"is you make some fundamental
assumptions about the work, right?"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,7.92,11.56,"You decide that you have a well-behaved
function that is consistent with"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,11.56,15.48,"the data that you're given, and with
that, you're able to generalize, and"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,15.48,18.12,"in fact that is the fundamental
problem in machine learning."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,18.12,19.76,It is generalization.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,19.76,23.055,"Now what's behind all of is
I'm going to claim, Michael,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,23.055,27.03,"you jump in whenever you disagree is
>> I disagree sorry to soon, go ahead."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,27.03,28.52,>> is bias and in particular
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,28.52,29.652,">> bias
>> inductive bias."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,29.652,30.496000000000002,>> Inductive bias.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,30.496,32.595,">> Right, so all of machine learning or"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,32.595,37.36,"certainly supervised learning is about
induction, as opposed to deduction."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,37.36,39.07,">> I see.
Induction of course being a problem of"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,39.07,41.82,"going from examples to
a more general rule."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,41.82,44.7,">> Right, specifics to generalities."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,44.7,46.160000000000004,"By contrast, deduction is?"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,47.73,48.25,>> Be the opposite.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,48.25,51.3,"It would be going from a general
rule to specific instances,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,51.3,53.29,basically like reasoning.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,53.29,54.19,">> Right, and in fact,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,54.19,56.9,"a lot of AI in the beginning
was about deductive reasoning,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,56.9,60.199999999999996,"about logic programming, those sorts of
things, where you have certain rules,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,60.2,63.400000000000006,"and you deduce only those things that
follow immediately from those rules."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,63.4,66.03,"So for example,
you'd have something like A implies B."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,66.03,68.2,That's a rule in the universe.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,68.2,69.65,And then I tell you A.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,69.65,72.54,"So if you A implies B is a rule in
the universe, and I tell you A,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,72.54,74.54,then you also know?
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,74.54,76.31,>> That A implies B.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,76.31,77.93,>> And therefore you can infer that?
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,77.93,78.48,>> And A. B. >> B.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,78.48,83.27000000000001,"You have A implies B,
you have A, that implies B."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,83.27,86.89,">> Okay.
>> That's what we just said."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,88.23,89.04,"But what,
>> that's deduction."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,89.04,91.68,">> That's deduction, but
we just did was not deduction."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,91.68,95.48,"Before then when I asked you one, one,
two, four, three, nine, four sixteen and"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,95.48,96.23,so forth.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,96.23,97.31,">> Right,
>> we did induction."
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,97.31,98.09,>> That was induction.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,98.09,101.9,">> Induction is more about
did the sun rise yesterday?"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,101.9,103.61,">> yes.
>> Did the sun rise the day before that?"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,103.61,105.09,">> yes.
>> Did the sun rise the day before that?"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,106.88,108.08,>> I slept in.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,108.08,109.25,Did the sun rise the day before that?
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,109.25,109.86,>> Yes.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,109.86,110.36,>> Yes.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,110.36,111.52,So the sun has risen every day.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,111.52,112.81,Is the sun going to rise tomorrow?
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,113.87,114.74000000000001,>> I sure hope so.
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,114.74,117.03,">> We all hope so, and
we all act like it does,"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,117.03,120.01,"because if it doesn't, then there are a
whole bunch of other things we ought to"
pqXASFHUfhs,Induction and Deduction - Georgia Tech - Machine Learning,120.01,122.29,"be doing besides sitting in this
studio and having this interview."
